country,New_Q59,New_Q61
United Kingdom,1,1
United Kingdom,2,2
United Kingdom,3,3
United Kingdom,4,4
United Kingdom,5,5
United Kingdom,6,6
United Kingdom,7,7
United Kingdom,8,8
United Kingdom,9,9
United Kingdom,10,10
United Kingdom,11,11
United Kingdom,12,12
France,13,13
France,14,14
France,15,15
France,16,16
France,17,17
France,18,18
Germany,20,19
Germany,19,20
Germany,24,21
Germany,21,22
Germany,23,23
Germany,22,24
Spain,25,25
Spain,26,26
Spain,27,27
Spain,28,28
Spain,29,29
Spain,33,30
Spain,32,31
Spain,36,32
Spain,35,33
Spain,34,34
Spain,30,35
Italy,46,36
Italy,42,37
Italy,44,38
Italy,43,39
Italy,45,40
Netherlands,49,41
Netherlands,50,42
Netherlands,51,43
Netherlands,52,44
Netherlands,53,45
Netherlands,54,46
Netherlands,55,47
Netherlands,60,48
Denmark,61,49
Denmark,64,50
Denmark,65,51
Denmark,66,52
Denmark,67,53
Denmark,68,54
Denmark,69,55
Denmark,70,56
Denmark,71,57
Sweden,74,59
Sweden,75,60
Sweden,76,61
Sweden,77,62
Sweden,78,63
Sweden,79,64
Sweden,80,65
Sweden,81,66
Finland,82,67
Finland,83,68
Finland,84,69
Finland,85,70
Finland,86,71
Finland,87,72
Finland,88,73
Finland,89,74
Poland,91,75
Poland,92,76
Poland,93,77
Poland,94,78
Poland,95,79
Romania,96,80
Romania,97,81
Romania,98,82
Romania,100,83
Romania,99,84
Romania,101,85
Hungary,103,86
Hungary,104,87
Hungary,105,88
Hungary,106,89
Hungary,107,90
Lithuania,110,91
Lithuania,111,93
Lithuania,113,94
Lithuania,115,95
Lithuania,114,NA
Lithuania,NA,96
Lithuania,116,97
Lithuania,112,98
Lithuania,NA,99
Greece,118,100
Greece,119,101
Greece,120,102
Greece,121,103
Greece,122,104
Greece,123,105
Bulgaria,NA,106
Bulgaria,127,107
Bulgaria,129,108
Bulgaria,128,109
Bulgaria,126,110
Bulgaria,NA,111
Bulgaria,125,112
Bulgaria,130,113
Slovakia,131,114
Slovakia,132,115
Slovakia,133,116
Slovakia,134,117
Slovakia,135,118
Slovakia,136,119
Slovakia,137,120
Slovakia,138,121
Croatia,139,122
Croatia,140,123
Croatia,141,124
Croatia,142,125
Croatia,143,126
Croatia,144,127
Denmark,62,128
Spain,31,366
Denmark,63,129 AND 58
Spain,37,NA
Spain,38,NA
Spain,39,NA
Spain,40,NA
Spain,41,NA
Italy,47,NA
Italy,48,NA
Netherlands,56,NA
Netherlands,57,NA
Netherlands,58,NA
Netherlands,59,NA
Denmark,72,NA
Denmark,73,NA
Finland,90,NA
Romania,102,NA
Hungary,108,NA
Hungary,109,NA
Lithuania,117,NA
Greece,124,NA