country,New_Q59,incumbent
United Kingdom,1,1
United Kingdom,2,0
United Kingdom,3,0
United Kingdom,4,0
United Kingdom,5,0
United Kingdom,6,0
United Kingdom,7,0
United Kingdom,8,0
United Kingdom,9,0
United Kingdom,10,0
United Kingdom,11,0
United Kingdom,12,0
Bulgaria,125,1
Bulgaria,127,1
Bulgaria,128,1
Bulgaria,126,0
Bulgaria,129,0
Bulgaria,130,0
Croatia,139,1
Croatia,140,0
Croatia,141,0
Croatia,142,0
Croatia,143,0
Croatia,144,0
Denmark,61,1
Denmark,62,1
Denmark,66,1
Denmark,72,1
Denmark,63,0
Denmark,64,0
Denmark,65,0
Denmark,67,0
Denmark,68,0
Denmark,69,0
Denmark,70,0
Denmark,71,0
Denmark,73,0
Finland,82,1
Finland,84,1
Finland,85,1
Finland,86,1
Finland,88,1
Finland,83,0
Finland,87,0
Finland,89,0
Finland,90,0
France,13,1
France,14,0
France,15,0
France,16,0
France,17,0
France,18,0
Germany,19,1
Germany,21,1
Germany,23,1
Germany,20,0
Germany,22,0
Germany,24,0
Greece,118,1
Greece,119,0
Greece,120,0
Greece,121,0
Greece,122,0
Greece,123,0
Greece,124,0
Hungary,103,1
Hungary,104,0
Hungary,105,0
Hungary,106,0
Hungary,107,0
Hungary,108,0
Hungary,109,0
Italy,42,1
Italy,43,1
Italy,44,1
Italy,46,1
Italy,47,0
Italy,48,0
Italy ,45,0
Lithuania,110,1
Lithuania,114,1
Lithuania,115,1
Lithuania,111,0
Lithuania,112,0
Lithuania,113,0
Lithuania,116,0
Lithuania,117,0
Netherlands,49,1
Netherlands,51,1
Netherlands,52,1
Netherlands,56,1
Netherlands,50,0
Netherlands,53,0
Netherlands,54,0
Netherlands,55,0
Netherlands,57,0
Netherlands,58,0
Netherlands,59,0
Netherlands,60,0
Poland,92,1
Poland,94,1
Poland,91,0
Poland,93,0
Poland,95,0
Romania,96,1
Romania,97,1
Romania,98,1
Romania,100,1
Romania,99,0
Romania,101,0
Romania,102,0
Slovakia,131,1
Slovakia,136,1
Slovakia,137,1
Slovakia,132,0
Slovakia,133,0
Slovakia,134,0
Slovakia,135,0
Slovakia,138,0
Spain,25,1
Spain,28,1
Spain,31,1
Spain,30,0
Spain,33,1
Spain,34,0
Spain,35,0
Spain,41,0
Spain,26,0
Spain,27,0
Spain,29,0
Spain,32,0
Spain,36,0
Spain,37,0
Spain,38,0
Spain,39,0
Spain,40,0
Sweden,79,1
Sweden,74,0
Sweden,75,0
Sweden,76,0
Sweden,77,0
Sweden,78,0
Sweden,80,0
Sweden,81,0