country,party_id,party_name_english,cabinet_party,prime_minister
Spain,645,People's Alliance-Party,0,0
Spain,520,Galician Nationalist Bloc,0,0
Spain,234,Canary Coalition,0,0
Spain,2605,Democratic Convergence | Together for Catalonia,0,0
Spain,2792,Popular Unity Candidacy,0,0
Spain,2375,Citizens -- Party of the Citizenry,0,0
Spain,2607,Compromise | A la valenciana,0,0
Spain,2606,In Common We Can,0,0
Spain,2603,Basque Country Unite,0,0
Spain,2604,En Masse | Common Group of the Left,0,0
Spain,757,Republican Left of Catalonia,0,0
Spain,2804,Equo,0,0
Spain,2723,Sum Navarre,0,0
Spain,2376,We Can,0,0
Spain,118,Communist Party | United Left,1,0
Spain,1361,Basque Nationalist Party,0,0
Spain,902,Spanish Socialist Workers Party,1,1
Spain,2724,United We Can,0,0
Spain,2380,Voice,0,0
Spain,2294,one seat,0,0
Netherlands,2109,50PLUS,,
Netherlands,2824,Farmer-Citizen Movement,,
Netherlands,235,Christian Democratic Appeal,,
Netherlands,1206,ChristianUnion,,
Netherlands,345,Democrats 66,,
Netherlands,2641,Think,,
Netherlands,2642,Forum for Democracy,,
Netherlands,756,GreenLeft,,
Netherlands,2823,Right Answer 2021,,
Netherlands,1501,Party for Freedom,,
Netherlands,742,Labour Party,,
Netherlands,990,Party for the Animals,,
Netherlands,1251,Political Reformed Party,,
Netherlands,357,Socialist Party,,
Netherlands,2735,Volt Netherlands,,
Netherlands,1409,People's Party for Freedom and Democracy,,
Netherlands,2288,one seat,,
Poland,1104,Democratic | Freedom | Union,0,0
Poland,2600,Kukiz'15,0,0
Poland,2602,Coalition for the Renewal of the Republic -- Liberty and Hope,0,0
Poland,2790,Left Together,0,0
Poland,900,German minority,0,0
Poland,512,Civic Platform,1,1
Poland,664,Polish People's Party,1,0
Poland,528,Law and Justice,0,0
Poland,2398,National Movement,0,0
Poland,629,Democratic Left Alliance,1,0
Poland,2740,Spring,1,0
Poland,1011,no party affiliation,0,0
Poland,2287,one seat,0,0
Slovakia,586,People's Party Our Slovakia,0,0
Slovakia,1759,Ordinary People and Independent,0,0
Slovakia,2623,We are family -- Boris Kollar,0,0
Slovakia,1460,Freedom and Solidarity,0,0
Slovakia,220,Direction -- Social Democracy,1,1
Slovakia,2796,For the People,0,0
Slovakia,1359,no party affiliation,0,0